,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
289,290,I Malhotra,1,4,6,1,7,7,4,0,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
290,291,L Ablish,3,2,45,1,0,0,0,0,2,0,0,0,0,0,4,2,4,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
291,292,CA Ingram,3,26,0,0,21,13,12,8,14,0,0,0,0,0,0,0,6,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6
292,293,S Nadeem,54,71,1137,1,26,9,30,17,41,0,0,0,0,0,0,0,6,5,6,17,6,29,6,35,6,26,6,18,6,14,6,14,11
293,294,P Parameswaran,8,3,159,1,1,1,1,0,2,0,0,0,0,0,0,0,9,5,2,8,0,8,0,3,0,0,0,0,0,0,0,0,0
294,295,CJ Ferguson,8,119,0,0,98,42,51,56,68,0,0,0,0,0,0,0,10,4,10,8,0,8,0,4,0,0,0,0,0,0,0,0,1
295,296,VR Aaron,40,56,904,1,46,22,30,24,26,0,0,0,0,0,0,0,6,3,6,11,0,11,2,18,2,15,2,23,4,19,0,19,5
296,297,AA Chavan,13,11,255,1,12,8,9,4,2,0,0,0,0,0,0,0,5,2,5,10,5,13,0,11,0,3,0,0,0,0,0,0,0
297,298,ND Doshi,4,13,57,1,0,0,13,0,0,0,0,0,0,0,2,1,5,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
298,299,B Kumar,90,160,2054,1,158,55,49,103,111,0,0,0,0,0,0,0,10,4,10,15,10,31,11,41,11,44,11,45,11,45,11,45,11
299,300,Y Gnaneswara Rao,2,18,6,0,19,0,0,19,18,0,0,0,0,0,0,0,9,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
300,301,S Rana,9,82,16,0,91,53,52,38,30,0,0,0,0,0,0,0,10,1,0,1,0,1,2,8,0,8,0,8,0,0,0,0,0
301,302,BA Bhatt,15,7,303,1,6,6,2,0,5,0,0,0,0,0,0,0,4,8,4,13,4,15,0,7,0,2,0,0,0,0,0,0,0
